size,cores,time
10000,1,1.037308
10000,1,1.041441
10000,1,1.040022
10000,1,1.040264
10000,1,1.041511
14142,2,1.045430
14142,2,1.044219
14142,2,1.045033
14142,2,1.044210
14142,2,1.044218
17321,3,1.047212
17321,3,1.047123
17321,3,1.047165
17321,3,1.063958
17321,3,1.046785
20000,4,1.052662
20000,4,1.052906
20000,4,1.053307
20000,4,1.052066
20000,4,1.053622
22361,5,1.075504
22361,5,1.072738
22361,5,1.064351
22361,5,1.075296
22361,5,1.066504
24496,6,1.080817
24496,6,1.091811
24496,6,1.073237
24496,6,1.092107
24496,6,1.084023
26458,7,1.085571
26458,7,1.116203
26458,7,1.072405
26458,7,1.080555
26458,7,1.094950
28284,8,1.085431
28284,8,1.087011
28284,8,1.110216
28284,8,1.078995
28284,8,1.070992
30000,9,1.137730
30000,9,1.102611
30000,9,1.087320
30000,9,1.086388
30000,9,1.078691
