size,cores,time
10000,1,1.036942
10000,1,1.038517
10000,1,1.038228
10000,1,1.038738
10000,1,1.038898
14142,2,0.005292
14142,2,0.005732
14142,2,0.007443
14142,2,0.005748
14142,2,0.005427
17321,3,0.005848
17321,3,0.022254
17321,3,0.005274
17321,3,0.004478
17321,3,0.004884
20000,4,0.006892
20000,4,0.004669
20000,4,0.004757
20000,4,0.005084
20000,4,0.004484
22361,5,0.022643
22361,5,0.008860
22361,5,0.005227
22361,5,0.029773
22361,5,0.014606
24496,6,0.004262
24496,6,0.022936
24496,6,0.022718
24496,6,0.030555
24496,6,0.005188
26458,7,0.015475
26458,7,0.005083
26458,7,0.004741
26458,7,0.015983
26458,7,0.021978
28284,8,0.004272
28284,8,0.014239
28284,8,0.006216
28284,8,0.015367
28284,8,0.015673
30000,9,0.007152
30000,9,0.020401
30000,9,0.019994
30000,9,0.014356
30000,9,0.002895
