size,OMP-threads,time
10000,1,59.866642
10000,1,60.154174
10000,1,59.887616
10000,1,59.907843
10000,1,59.885902
10000,2,30.761180
10000,2,30.731846
10000,2,30.786384
10000,2,30.762043
10000,2,30.730719
10000,3,21.001028
10000,3,20.926980
10000,3,20.924699
10000,3,20.930896
10000,3,20.923082
10000,4,16.005260
10000,4,16.010261
10000,4,16.003711
10000,4,16.002816
10000,4,15.999230
10000,5,13.067798
10000,5,13.071223
10000,5,13.071499
10000,5,13.075171
10000,5,13.061554
10000,6,11.096186
10000,6,11.101125
10000,6,11.100229
10000,6,11.103236
10000,6,11.101706
10000,7,9.702236
10000,7,9.703208
10000,7,9.702731
10000,7,9.704833
10000,7,9.701782
10000,8,8.653145
10000,8,8.709646
10000,8,8.650240
10000,8,8.645996
10000,8,8.652251
10000,9,7.839715
10000,9,7.837425
10000,9,7.834224
10000,9,7.835269
10000,9,7.835350
10000,10,7.194931
10000,10,7.194996
10000,10,7.215849
10000,10,7.193119
10000,10,7.194979
10000,11,6.649717
10000,11,6.646438
10000,11,6.650038
10000,11,6.649352
10000,11,6.644552
10000,12,6.202528
10000,12,6.205074
10000,12,6.203584
10000,12,6.279419
10000,12,6.206591
