size,OMP-threads,time
17500,1,90.188936
17500,1,90.878994
17500,1,90.178025
17500,1,90.294577
17500,1,90.283530
17500,2,45.939404
17500,2,45.884871
17500,2,45.895265
17500,2,45.889330
17500,2,45.889347
17500,3,31.149567
17500,3,31.144638
17500,3,31.167107
17500,3,31.054587
17500,3,31.154262
17500,4,23.751969
17500,4,23.936234
17500,4,23.714226
17500,4,23.753991
17500,4,23.768361
17500,5,19.305672
17500,5,19.286997
17500,5,19.312650
17500,5,19.275938
17500,5,19.336553
17500,6,16.325242
17500,6,16.326926
17500,6,16.412262
17500,6,16.332174
17500,6,16.352560
17500,7,14.217339
17500,7,14.243802
17500,7,14.226106
17500,7,14.109517
17500,7,14.147795
17500,8,12.658814
17500,8,12.632914
17500,8,12.536488
17500,8,12.648525
17500,8,12.602609
17500,9,11.445097
17500,9,11.344895
17500,9,11.317873
17500,9,11.336390
17500,9,11.421791
17500,10,10.432734
17500,10,10.332054
17500,10,10.451556
17500,10,10.321460
17500,10,10.387402
17500,11,9.555614
17500,11,9.585874
17500,11,9.627119
17500,11,9.572674
17500,11,9.600759
17500,12,8.927073
17500,12,8.799241
17500,12,9.115317
17500,12,8.915821
17500,12,9.097009
