size,cores,time
10000,1, 0.013628
10000,1, 0.017505
10000,1, 0.017472
10000,1, 0.018747
10000,1, 0.018348
14142,2, 0.014209
14142,2, 0.012597
14142,2, 0.029903
14142,2, 0.028673
14142,2, 0.011880
17321,3, 0.039249
17321,3, 0.019934
17321,3, 0.024379
17321,3, 0.017080
17321,3, 0.017831
20000,4, 0.025839
20000,4, 0.016237
20000,4, 0.031797
20000,4, 0.026806
20000,4, 0.028334
22361,5, 0.029694
22361,5, 0.026584
22361,5, 0.029126
22361,5, 0.028339
22361,5, 0.030450
24496,6, 0.031750
24496,6, 0.031571
24496,6, 0.034272
24496,6, 0.029274
24496,6, 0.030314
26458,7, 0.030949
26458,7, 0.031004
26458,7, 0.029167
26458,7, 0.020440
26458,7, 0.030262
28284,8, 0.028679
28284,8, 0.030269
28284,8, 0.027851
28284,8, 0.029369
28284,8, 0.029062
30000,9, 0.030131
30000,9, 0.031526
30000,9, 0.030504
30000,9, 0.030680
30000,9, 0.030132
