size,cores,time
10000,1, 0.014980
10000,1, 0.015792
10000,1, 0.015571
10000,1, 0.015219
10000,1, 0.015653
14142,2, 0.012859
14142,2, 0.020573
14142,2, 0.010723
14142,2, 0.010790
14142,2, 0.020142
17321,3, 0.008052
17321,3, 0.008307
17321,3, 0.008662
17321,3, 0.028651
17321,3, 0.028950
20000,4, 0.008461
20000,4, 0.009007
20000,4, 0.009023
20000,4, 0.008889
20000,4, 0.008115
22361,5, 0.025702
22361,5, 0.008040
22361,5, 0.008370
22361,5, 0.016988
22361,5, 0.008563
24496,6, 0.015055
24496,6, 0.018081
24496,6, 0.016615
24496,6, 0.010205
24496,6, 0.013448
26458,7, 0.012477
26458,7, 0.006247
26458,7, 0.007269
26458,7, 0.007742
26458,7, 0.025747
28284,8, 0.008646
28284,8, 0.020597
28284,8, 0.024199
28284,8, 0.013989
28284,8, 0.014345
30000,9, 0.007540
30000,9, 0.016461
30000,9, 0.016442
30000,9, 0.016044
30000,9, 0.021090
