size,cores,time
12500, 1,525.978077
12500, 2,265.972304
12500, 3,178.178078
12500, 4,134.887447
12500, 5,108.158654
12500, 6,90.600990
12500, 7,78.206629
12500, 8,68.679185
12500, 9,61.414093
12500, 10,55.592799
12500, 11,50.745971
12500, 12,46.734077
12500, 13,43.359902
12500, 14,40.455403
12500, 15,37.976127
12500, 16,35.749488
12500, 17,33.886516
12500, 18,32.318454
12500, 19,30.723661
12500, 20,29.379218
12500, 21,28.210014
12500, 22,27.131331
12500, 23,26.258802
12500, 24,25.298227
12500, 25,24.617782
12500, 26,23.595344
12500, 27,22.877796
12500, 28,22.227882
12500, 29,21.542697
12500, 30,20.774721
12500, 31,20.529273
12500, 32,19.815094
12500, 33,19.272640
12500, 34,18.688009
12500, 35,21.450606
12500, 36,17.870795
12500, 37,17.649692
12500, 38,17.141329
12500, 39,16.739619
12500, 40,16.538374
12500, 41,16.143249
12500, 42,15.768674
12500, 43,15.671079
12500, 44,15.171169
12500, 45,15.023361
12500, 46,14.784611
12500, 47,14.459306
12500, 48,14.314058
12500, 49,26.371791
12500, 50,26.096112
12500, 51,25.639352
12500, 52,25.496785
12500, 53,25.067312
12500, 54,24.797701
12500, 55,24.637338
12500, 56,24.349870
12500, 57,24.215014
12500, 58,24.134566
12500, 59,23.877685
12500, 60,24.358478
12500, 61,24.044170
12500, 62,23.570760
12500, 63,23.742315
12500, 64,23.003814
12500, 65,22.682953
12500, 66,22.465130
12500, 67,22.128550
12500, 68,21.928799
12500, 69,21.915928
12500, 70,21.623918
12500, 71,21.505850
12500, 72,21.325111
12500, 73,21.073678
12500, 74,21.313531
12500, 75,20.798307
12500, 76,20.535842
12500, 77,20.303207
12500, 78,20.034431
12500, 79,19.902893
12500, 80,19.861803
12500, 81,19.655110
12500, 82,19.386855
12500, 83,19.249563
12500, 84,19.035825
12500, 85,19.090408
12500, 86,19.459995
12500, 87,18.770566
12500, 88,18.577482
12500, 89,18.363523
12500, 90,18.561516
12500, 91,18.280258
12500, 92,18.098376
12500, 93,17.848140
12500, 94,18.067538
12500, 95,17.878134
