size,cores,time
25000, 1, 1486.562142
25000, 2, 744.762650
25000, 3, 495.579460
25000, 4, 374.045980
25000, 5, 302.130478
25000, 6, 255.651008
25000, 7, 220.745996
25000, 8, 200.941007
25000, 9, 181.286467
25000, 10, 166.466860
25000, 11, 154.715618
25000, 12, 145.541187
25000, 13, 137.446946
25000, 14, 131.117220
25000, 15, 126.863467
25000, 16, 112.994112
25000, 17, 107.653455
25000, 18, 102.980631
25000, 19, 98.828495
25000, 20, 94.796538
25000, 21, 91.359267
25000, 22, 88.255961
25000, 23, 85.306275
25000, 24, 82.780223
25000, 25, 80.346499
25000, 26, 78.212961
25000, 27, 76.025030
25000, 28, 74.442694
25000, 29, 72.195095
25000, 30, 71.215177
25000, 31, 69.189171
25000, 32, 68.222739
25000, 33, 67.205252
25000, 34, 65.814203
25000, 35, 64.613646
25000, 36, 63.348213
25000, 37, 61.875926
25000, 38, 60.968831
25000, 39, 59.719575
25000, 40
