size,cores,time
12500, 1, 105.193143
12500, 1, 105.592372
12500, 1, 105.193723
12500, 1, 105.436983
12500, 1, 105.223249
12500, 2, 53.598503
12500, 2, 53.591885
12500, 2, 53.601352
12500, 2, 53.595762
12500, 2, 53.593617
12500, 3, 35.898803
12500, 3, 35.904269
12500, 3, 36.051448
12500, 3, 36.012594
12500, 3, 36.033519
12500, 4, 27.297150
12500, 4, 27.359096
12500, 4, 27.206896
12500, 4, 27.400330
12500, 4, 27.295057
12500, 5, 21.877722
12500, 5, 21.962046
12500, 5, 21.948908
12500, 5, 22.058895
12500, 5, 21.939856
12500, 6, 18.420164
12500, 6, 18.484869
12500, 6, 18.416230
12500, 6, 18.464356
12500, 6, 18.447142
12500, 7, 15.982751
12500, 7, 15.975710
12500, 7, 15.956549
12500, 7, 15.946809
12500, 7, 15.980542
12500, 8, 14.071018
12500, 8, 14.060947
12500, 8, 14.046598
12500, 8, 14.025773
12500, 8, 14.038506
12500, 9, 12.572246
12500, 9, 12.533633
12500, 9, 12.590895
12500, 9, 12.527218
12500, 9, 12.566733
12500, 10, 11.383753
12500, 10, 11.470596
12500, 10, 11.407823
12500, 10, 11.479183
12500, 10, 11.446033
12500, 11, 10.408280
12500, 11, 10.418638
12500, 11, 10.406425
12500, 11, 10.377121
12500, 11, 10.404548
12500, 12, 9.615825
12500, 12, 9.586693
12500, 12, 9.580338
12500, 12, 9.580797
12500, 12, 9.605431
12500, 13, 8.965775
12500, 13, 8.966418
12500, 13, 9.041479
12500, 13, 8.966677
12500, 13, 8.990699
12500, 14, 8.381244
12500, 14, 8.358833
12500, 14, 8.373571
12500, 14, 8.399898
12500, 14, 8.437194
12500, 15, 7.862935
12500, 15, 7.866797
12500, 15, 7.862995
12500, 15, 7.881042
12500, 15, 7.882150
12500, 16, 7.426824
12500, 16, 7.413466
12500, 16, 7.396926
12500, 16, 7.423932
12500, 16, 7.387303
12500, 17, 7.043215
12500, 17, 7.049386
12500, 17, 7.045217
12500, 17, 7.011158
12500, 17, 7.021234
12500, 18, 6.739436
12500, 18, 6.703087
12500, 18, 6.748627
12500, 18, 6.710376
12500, 18, 6.776775
12500, 19, 6.376606
12500, 19, 6.382896
12500, 19, 6.515038
12500, 19, 6.398402
12500, 19, 6.409439
12500, 20, 6.146632
12500, 20, 6.138774
12500, 20, 6.174508
12500, 20, 6.142705
12500, 20, 6.144829
12500, 21, 5.903811
12500, 21, 5.932933
12500, 21, 5.880102
12500, 21, 5.921403
12500, 21, 5.890971
12500, 22, 5.673166
12500, 22, 5.698173
12500, 22, 5.700035
12500, 22, 5.691037
12500, 22, 5.702467
12500, 23, 5.480635
12500, 23, 5.491440
12500, 23, 5.612494
12500, 23, 5.495456
12500, 23, 5.462033
12500, 24, 5.262001
12500, 24, 5.378469
12500, 24, 5.241465
12500, 24, 5.259144
