size,cores,time
17500, 1, 291.304273
17500, 1, 291.483139
17500, 1, 291.579767
17500, 1, 291.886478
17500, 1, 291.573328
17500, 2, 145.816659
17500, 2, 145.675832
17500, 2, 145.637888
17500, 2, 145.649210
17500, 2, 145.696798
17500, 3, 97.463533
17500, 3, 97.409901
17500, 3, 97.515304
17500, 3, 97.424664
17500, 3, 97.394318
17500, 4, 73.698749
17500, 4, 73.677836
17500, 4, 73.661138
17500, 4, 73.701035
17500, 4, 73.680630
17500, 5, 59.329480
17500, 5, 59.363960
17500, 5, 59.365039
17500, 5, 59.389678
17500, 5, 59.397184
17500, 6, 50.283936
17500, 6, 50.275272
17500, 6, 50.348006
17500, 6, 50.342374
17500, 6, 50.330494
17500, 7, 43.380357
17500, 7, 43.399809
17500, 7, 43.404887
17500, 7, 43.409774
17500, 7, 43.425059
17500, 8, 39.647180
17500, 8, 39.641118
17500, 8, 39.626304
17500, 8, 39.583706
17500, 8, 39.608607
17500, 9, 35.801252
17500, 9, 35.786843
17500, 9, 35.792453
17500, 9, 35.781936
17500, 9, 35.788165
17500, 10, 32.840823
17500, 10, 32.822838
17500, 10, 32.811118
17500, 10, 32.820925
17500, 10, 32.793074
17500, 11, 30.541104
17500, 11, 30.549054
17500, 11, 30.571005
17500, 11, 30.586593
17500, 11, 30.585946
17500, 12, 28.798215
17500, 12, 28.803591
17500, 12, 28.800028
17500, 12, 28.778262
17500, 12, 28.772455
17500, 13, 27.249717
17500, 13, 27.270107
17500, 13, 27.274044
17500, 13, 27.277538
17500, 13, 27.283698
17500, 14, 26.014070
17500, 14, 26.041211
17500, 14, 26.008171
17500, 14, 26.006217
17500, 14, 26.004317
17500, 15, 25.215115
17500, 15, 25.247052
17500, 15, 25.190369
17500, 15, 25.220737
17500, 15, 25.251955
17500, 16, 23.685210
17500, 16, 23.666223
17500, 16, 23.390831
17500, 16, 23.497274
17500, 16, 23.627183
17500, 17, 22.654144
17500, 17, 22.640411
17500, 17, 21.458893
17500, 17, 21.995201
17500, 17, 21.678036
17500, 18, 21.417872
17500, 18, 21.052705
17500, 18, 21.018252
17500, 18, 20.466473
17500, 18, 20.496276
17500, 19, 19.865127
17500, 19, 20.037820
17500, 19, 19.844775
17500, 19, 19.623290
17500, 19, 20.372214
17500, 20, 18.844474
17500, 20, 18.828038
17500, 20, 18.844365
17500, 20, 19.016345
17500, 20, 19.076787
17500, 21, 18.433344
17500, 21, 18.218064
17500, 21, 18.405077
17500, 21, 18.430968
17500, 21, 18.220487
17500, 22, 17.784122
17500, 22, 17.744633
17500, 22, 17.562771
17500, 22, 17.831505
17500, 22, 17.813540
17500, 23, 17.012014
17500, 23, 17.241201
17500, 23, 17.023154
17500, 23, 17.038439
17500, 23, 17.389435
17500, 24, 16.507051
17500, 24, 16.720165
17500, 24, 16.675428
17500, 24, 16.506244
17500, 24, 16.496451
17500, 25, 16.227044
17500, 25, 16.223351
17500, 25, 15.999079
17500, 25, 15.986098
17500, 25, 16.013166
17500, 26, 15.833750
17500, 26, 15.589713
17500, 26, 15.571162
17500, 26, 15.586415
17500, 26, 15.799014
17500, 27, 15.212278
17500, 27, 15.198438
17500, 27, 15.416258
17500, 27, 15.339976
17500, 27, 15.172899
17500, 28, 14.789160
17500, 28, 15.037053
17500, 28, 14.820976
17500, 28, 14.795767
17500, 28, 15.023455
17500, 29, 14.469109
17500, 29, 14.727205
17500, 29, 14.725614
17500, 29, 14.485385
17500, 29, 14.701184
17500, 30, 14.431826
17500, 30, 14.165109
17500, 30, 14.423694
17500, 30, 14.148701
17500, 30, 14.149308
17500, 31, 14.010375
17500, 31, 13.813388
17500, 31, 14.034212
17500, 31, 13.848765
17500, 31, 13.815731
17500, 32, 13.895498
17500, 32, 13.699371
17500, 32, 13.904791
17500, 32, 13.885227
17500, 32, 13.667545
17500, 33, 13.612865
17500, 33, 13.651240
17500, 33, 13.447869
17500, 33, 13.622052
17500, 33, 13.424431
17500, 34, 13.144834
17500, 34, 13.426758
17500, 34, 13.172839
17500, 34, 13.361363
17500, 34, 13.416039
17500, 35, 12.876590
17500, 3517500, 3517500, 3517500, 3517500, 3617500, 3617500, 3617500, 3617500, 3617500, 3717500, 3717500, 3717500, 3717500, 3717500, 3817500, 3817500, 3817500, 3817500, 3817500, 3917500, 3917500, 3917500, 3917500, 3917500, 4017500, 4017500, 4017500, 4017500, 4017500, 4117500, 4117500, 4117500, 4117500, 4117500, 4217500, 4217500, 4217500, 4217500, 4217500, 4317500, 4317500, 4317500, 4317500, 4317500, 4417500, 4417500, 4417500, 4417500, 4417500, 4517500, 4517500, 4517500, 4517500, 4517500, 4617500, 4617500, 4617500, 4617500, 4617500, 4717500, 47
