size, threads, time
10000,1, 47.160547
10000,1, 47.528449
10000,1, 47.181355
10000,1, 47.154376
10000,1, 47.203007
10000,2, 23.822494
10000,2, 23.797925
10000,2, 23.799258
10000,2, 23.813783
10000,2, 23.771769
10000,3, 15.947623
10000,3, 15.955187
10000,3, 15.955262
10000,3, 15.953824
10000,3, 15.953537
10000,4, 12.055691
10000,4, 12.058257
10000,4, 12.047923
10000,4, 12.059394
10000,4, 12.046754
10000,5, 12.463138
10000,5, 9.716191
10000,5, 9.733601
10000,5, 9.737221
10000,5, 9.734404
10000,6, 8.166795
10000,6, 8.182503
10000,6, 8.193853
10000,6, 8.167407
10000,6, 8.196392
10000,7, 7.072399
10000,7, 7.052450
10000,7, 7.059009
10000,7, 7.060335
10000,7, 7.068941
10000,8, 6.262654
10000,8, 6.265381
10000,8, 6.270424
10000,8, 6.273043
10000,8, 6.261505
10000,9, 5.565520
10000,9, 5.644845
10000,9, 5.565700
10000,9, 5.566885
10000,9, 5.566470
10000,10, 5.045446
10000,10, 5.055271
10000,10, 5.046443
10000,10, 5.043918
10000,10, 5.064006
10000,11, 4.607203
10000,11, 4.707206
10000,11, 4.611095
10000,11, 4.615422
10000,11, 8.111837
10000,12, 4.251604
10000,12, 4.255271
10000,12, 4.260404
10000,12, 4.258857
10000,12, 4.260118
10000,13, 3.965671
10000,13, 3.963107
10000,13, 3.964741
10000,13, 3.963532
10000,13, 3.963944
10000,14, 3.717324
10000,14, 3.707916
10000,14, 3.720535
10000,14, 3.708795
10000,14, 3.709706
10000,15, 3.492225
10000,15, 3.485880
10000,15, 3.496015
10000,15, 3.493729
10000,15, 3.495965
10000,16, 3.307842
10000,16, 3.308749
10000,16, 3.299517
10000,16, 3.308538
10000,16, 10.475730
10000,17, 3.125518
10000,17, 3.132378
10000,17, 3.242270
10000,17, 3.126707
10000,17, 3.136329
10000,18, 2.973896
10000,18, 2.976826
10000,18, 2.978475
10000,18, 2.994021
10000,18, 2.984146
10000,19, 2.837526
10000,19, 2.858512
10000,19, 2.836480
10000,19, 2.837253
10000,19, 2.841374
10000,20, 2.723706
10000,20, 2.711980
10000,20, 2.712016
10000,20, 2.711759
10000,20, 2.712489
