size, threads, time
17500,1, 205.972411
17500,1, 207.011891
17500,1, 206.005007
17500,1, 206.401155
17500,1, 206.037426
17500,2, 103.423419
17500,2, 103.879144
17500,2, 103.447684
17500,2, 103.799829
17500,2, 103.709385
17500,3, 69.145949
17500,3, 69.166453
17500,3, 69.173663
17500,3, 69.161844
17500,3, 69.581813
17500,4, 52.050199
17500,4, 52.052242
17500,4, 51.988910
17500,4, 52.060435
17500,4, 52.588981
17500,5, 42.113690
17500,5, 41.807626
17500,5, 41.840344
17500,5, 42.120372
17500,5, 41.738722
17500,6, 34.928783
17500,6, 34.886105
17500,6, 34.909561
17500,6, 35.379513
17500,6, 34.900234
17500,7, 30.144490
17500,7, 30.208805
17500,7, 30.327819
17500,7, 30.057326
17500,7, 30.141372
17500,8, 26.354253
17500,8, 26.353570
17500,8, 26.342655
17500,8, 26.401832
17500,8, 26.750142
17500,9, 23.523171
17500,9, 23.503029
17500,9, 23.507840
17500,9, 23.501169
17500,9, 23.508543
17500,10, 21.190097
17500,10, 21.203515
17500,10, 21.205641
17500,10, 21.247370
17500,10, 21.213537
17500,11, 19.346855
17500,11, 19.336669
17500,11, 19.352868
17500,11, 19.352037
17500,11, 19.364807
17500,12, 17.782867
17500,12, 17.981043
17500,12, 17.751409
17500,12, 17.978756
17500,12, 17.762684
